team1,team2,team3,team4,team5,team6,redPoints,bluePoints
2052,5172,3026,4607,3102,3184,89,74
2052,5172,3026,4607,3102,3184,81,68
2052,5172,3026,3007,4207,3244,92,55
2052,5172,3026,3007,4207,3244,94,70
4198,5913,3751,2823,2508,3630,61,46
4198,5913,3751,2823,2508,3630,70,74
4198,5913,3751,2823,2508,3630,57,71
7028,2987,4536,2509,5232,2500,69,61
7028,2987,4536,2509,5232,2500,55,61
7028,2987,4536,2509,5232,2500,81,47
4607,3102,3184,5464,2502,5434,78,58
4607,3102,3184,2232,2502,5434,87,47
7038,2052,5232,2855,3058,2513,57,40
3184,3038,3023,2823,2987,5434,39,71
2513,2509,2879,3751,2518,2532,42,48
2515,2480,3007,3745,5232,2825,38,40
3102,2846,2498,5913,5464,3058,39,60
5996,5172,3298,4198,5541,2181,68,56
4536,2530,4549,3299,4229,3407,47,41
4207,3751,3630,4607,3244,3023,42,40
2501,2855,7068,5637,2987,2500,45,67
2470,7180,6709,5434,3134,3202,39,40
7850,3871,4664,3026,2509,3038,19,55
4229,4607,4198,2825,7028,2532,49,54
2232,3184,7028,2052,3055,2508,74,59
7038,2823,2529,2502,3454,2879,47,40
3745,2515,5637,2987,2846,2530,31,68
3630,2501,7180,4207,2181,3007,49,66
2480,2470,3038,2498,4549,4607,39,59
3751,7028,2052,7850,2825,5172,71,51
3454,5541,2532,2232,3134,2508,42,45
3058,3244,4229,2529,7068,3871,81,47
4198,6709,3055,5232,2879,3102,46,46
3202,3023,4536,2518,5464,3026,35,51
4549,3134,2846,2181,7850,2501,27,23
2509,5913,2500,2513,3298,2823,69,40
3299,2502,5996,2855,3184,4664,51,55
3407,2532,2052,5434,7038,3871,61,46
2181,5637,7028,3102,3038,2515,61,62
2987,5464,2232,4229,2470,3751,47,35
3298,3630,3058,7180,3454,2825,48,9
7068,4536,3745,2508,2513,2498,57,52
5434,5913,2480,5996,3026,3055,69,27
2529,3023,2855,6709,5541,7850,20,34
3007,4607,5232,4664,3407,2518,54,17
3871,2518,3630,2480,2502,7068,42,70
4549,2509,4207,2500,7038,2502,47,55
2823,2879,2846,5172,2530,3134,26,61
3244,3202,4198,3184,3299,2501,55,24
2513,3026,3871,2515,3630,5541,40,60
2181,2855,2480,2529,2232,3407,41,43
2502,3007,5637,3023,3058,5434,61,42
2052,4607,2509,3055,2987,4536,78,61
2825,4664,4198,2530,4207,3202,41,54
4229,2518,2508,6709,2501,5996,54,39
3102,7850,3299,3745,2470,2823,69,63
3007,2508,2470,5913,2529,2530,49,49
4549,2500,5464,2879,2532,3244,40,40
2498,5232,3184,5172,3751,3454,43,65
3134,7068,7180,7028,5913,7038,48,77
3038,4536,4229,2846,3298,2855,52,42
2825,2513,3407,3055,5637,2470,17,41
2879,2515,3058,2509,5996,2232,55,53
7850,2508,3244,5232,4198,5434,54,50
2532,3102,7180,3023,2480,2501,36,31
5913,3630,3299,3038,2052,5172,42,62
4607,3026,3454,2502,2181,5464,64,77
3745,3055,5464,7180,4207,5172,33,69
7038,2846,7068,3298,4664,3751,50,38
3202,2823,5541,4549,7028,3007,52,61
2518,3745,2529,3134,2500,3184,38,62
4207,2498,2987,3871,6709,2530,79,60
3630,2181,5232,2532,4536,2470,59,45
2508,5172,3058,3407,2515,4607,76,68
5464,5434,2509,3299,7068,5541,64,55
2502,3202,7850,5637,2480,4229,66,47
2846,3184,3026,7028,4207,2513,52,38
3134,3007,3298,2052,2498,3244,57,76
5996,2498,2515,2500,3407,3202,35,26
2825,7038,5996,2987,2529,3102,40,54
2530,2500,2518,7180,2232,3038,64,38
3454,6709,3745,4198,4549,5913,30,81
3871,3751,2855,2501,2823,3055,31,51
3023,2879,2181,2498,4229,4664,36,43
2532,5232,2987,3026,3202,2529,61,43
7028,5172,2470,4536,3058,2500,76,51
3407,3244,6709,2509,2825,2846,48,39
5637,2508,4207,2480,3299,2823,47,46
3038,2501,3751,5541,3745,2502,47,51
4664,5541,4536,3244,3454,3102,29,65
4664,3102,3134,3630,2855,2232,47,66
5464,4198,7850,3007,2513,7038,64,46
3184,7180,5913,4607,3871,2879,57,57
2530,3023,3454,7068,5996,2052,27,72
3055,5434,2515,2518,3298,4549,37,46
2501,5637,2498,3630,2529,2509,54,71
5172,3102,2513,2987,2502,3244,75,65
3058,2480,3134,4536,4198,3751,45,68
2232,2532,4207,7068,7850,5913,84,67
2530,5434,3745,3202,2181,4607,63,53
6709,2232,3298,5637,3299,3026,25,27
5541,4229,7038,2470,2518,3184,51,47
2846,3871,7028,5232,5996,3023,73,52
2823,2052,2515,5464,4664,6709,58,41
2500,3038,3299,3454,3007,3055,69,44
3026,4549,2825,2508,7180,2855,41,44
3298,3407,2987,2879,3745,3630,62,36
2052,5172,3026,2823,2508,3630,95,73
2052,5172,3026,2823,2508,3630,90,74
7028,2987,4536,4607,3102,3184,73,84
7028,2987,4536,4607,3102,3184,65,83
2883,3926,3277,2549,1816,3082,64,82
2883,3926,3277,2549,1816,3082,68,77
3042,3313,5626,2227,6487,3130,60,87
3042,3313,5626,2227,6487,3130,62,53
3042,3313,5626,2227,6487,3130,72,82
2883,3926,3277,4663,3122,2574,87,65
2883,3926,3277,4663,3122,2574,73,73
2883,3926,3277,4663,3122,2574,74,73
2549,1816,3082,3883,2989,7273,77,38
2549,1816,3082,3883,2989,7273,83,54
3100,2175,2129,2491,5278,6803,68,68
3100,2175,2129,2491,5278,6803,76,50
3206,3082,2491,2574,4778,7858,38,49
3926,3277,7273,1816,5626,6749,54,47
5275,7892,4778,2549,2207,2883,37,58
2450,2225,3082,5826,3276,4648,45,41
4174,2143,3633,2491,4632,2239,53,47
6912,2129,3042,3206,2574,2654,67,63
2538,2525,7875,7858,3100,4215,33,65
2177,3018,5626,6803,2472,3313,49,57
3883,7258,4225,2227,3848,2989,38,62
1816,7273,4663,5340,5993,4665,69,45
6749,5278,3277,3130,7849,6487,31,20
4665,3848,2883,2239,3018,7875,58,28
2606,3926,2175,3122,3610,4277,60,32
2207,3633,2654,2525,6803,3018,41,40
2143,2989,2574,5275,3848,3276,59,52
7258,4648,5626,7892,3042,4665,41,64
7858,5993,3130,3883,2177,3313,67,74
7875,4225,5278,2450,5826,2606,33,49
3610,1816,4174,2538,6487,4778,60,71
2225,2472,3206,2175,5340,4215,51,57
3277,2227,2549,3082,3926,4663,75,62
7273,2129,6749,6912,4277,2239,46,43
7892,2450,7849,6487,3633,2472,33,37
3100,7849,2491,2883,3122,4632,43,63
1816,3313,6487,3848,2654,3042,74,53
2450,2574,3130,2606,4665,2207,65,37
2177,5340,2538,2549,5278,3633,61,70
2143,7892,3018,4277,2989,7858,28,48
2883,2491,6912,4225,5993,5626,65,56
3122,2239,3206,3277,2525,2225,65,44
3926,4174,2227,6803,5826,5275,80,49
3276,3610,4215,4663,6749,7849,59,48
2175,3883,4648,7273,4778,3100,67,62
7258,4277,2654,5278,2225,4648,35,35
2472,2129,7258,4632,7875,3082,34,41
3130,5626,2225,3018,2538,2989,62,44
7892,4277,5826,3277,2491,5340,36,24
3276,6749,2450,3313,3206,2549,62,69
2239,7858,4225,7849,4648,3926,32,42
7875,2606,2227,6487,2175,6912,49,73
3100,1816,2129,3633,5275,7258,70,46
2574,4215,4632,5993,6803,4778,63,61
2654,3610,3082,4665,4174,3883,36,57
5278,4663,2472,3848,2207,3122,53,41
2549,2175,3042,5826,2207,5993,84,52
2525,2883,2177,2143,3042,7273,70,74
3276,3277,2175,3018,2491,5275,59,35
2989,4648,6803,6912,3206,1816,24,67
4778,4665,3633,2225,6749,3926,43,57
6487,7858,3122,7258,5826,2574,58,49
5993,4215,5278,3082,2239,7892,49,33
4174,5626,5340,2129,2525,2450,38,27
4225,2472,2549,2654,3100,2143,71,58
4277,3130,3883,3042,4663,2883,69,88
2207,7875,2177,2227,7849,3610,33,54
3130,4632,3610,5275,6912,2525,46,28
3313,2606,3848,2538,4632,7273,57,40
4778,2239,2989,5340,2450,6487,47,30
2175,4665,6803,7892,3276,2129,72,39
5826,3883,3018,3206,7258,2525,51,40
5626,2549,4277,2574,1816,7875,67,69
7858,3042,3610,4632,2227,5278,54,69
7849,5275,2538,2654,7273,5993,33,46
6749,3082,3122,4225,2143,2207,54,39
2225,6912,4663,3313,4174,3100,62,78
3848,4215,2491,3926,3130,2177,49,66
2989,3276,3100,4174,2177,2606,66,51
4648,3633,3277,2606,2883,2472,50,55
2525,2227,4665,2989,2549,7849,52,53
5626,6487,2207,3883,3206,2143,37,65
3042,4225,2574,2239,2538,2225,64,44
4663,2654,4632,2177,2175,2450,57,67
4648,2606,5275,7875,2491,6749,34,32
3100,6803,3848,5340,3082,4277,82,43
3610,3313,3926,2883,7258,7892,84,51
3018,6912,3276,4778,5278,1816,43,81
3633,3122,5826,4215,7273,3130,59,53
2143,5340,3313,4215,4225,2227,57,49
5993,2129,4174,2472,7858,3277,51,47
4665,5275,3206,4277,2177,4225,63,46
3082,2883,2538,6749,2989,2175,45,55
2525,2574,3883,5278,3313,7892,33,74
2491,2549,6803,7273,2225,3610,86,34
3633,4663,2606,5626,2654,7858,68,56
2207,2450,7258,4215,3277,6912,45,52
3042,3122,5340,4174,7875,3276,64,49
4632,3926,5993,4648,3018,6487,45,50
7849,4778,5826,2129,2143,3848,40,54
6803,2538,2129,4663,3883,3122,36,49
2472,3100,2239,2227,3130,1816,49,94
2227,6487,3130,2883,3926,3277,57,62
2227,6487,3130,2883,3926,3277,72,76
2549,1816,3082,3100,2175,2129,73,70
2549,1816,3082,3100,2175,2129,71,55